                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 0.9315,                0.59447,                 0.9571,                0.78441,                0.69787,                0.75643,                0.35975,                 1.7476,                0.98076,                 1.4587,             0.00094805,             0.00094805,             0.00094805
                    125,                 0.9258,                0.57221,                  0.955,                0.69932,                0.70604,                0.67885,                0.32461,                 1.7875,                 1.1281,                 1.5152,             0.00094558,             0.00094558,             0.00094558
                    126,                0.92617,                0.58817,                0.96439,                0.67496,                0.70118,                0.72048,                0.35225,                 1.7687,                  1.009,                 1.4834,              0.0009431,              0.0009431,              0.0009431
                    127,                0.90847,                0.56411,                0.95408,                 0.7543,                0.63835,                0.73838,                 0.3715,                 1.7086,                 1.0324,                 1.4647,             0.00094062,             0.00094062,             0.00094062
                    128,                0.89168,                 0.5591,                0.94228,                0.76377,                0.82835,                0.80656,                0.39449,                 1.7091,                0.93548,                 1.4311,             0.00093815,             0.00093815,             0.00093815
                    129,                0.91468,                0.56281,                0.95225,                0.76575,                0.77305,                0.78934,                0.41891,                 1.6596,                0.93319,                 1.4409,             0.00093567,             0.00093567,             0.00093567
                    130,                0.90255,                 0.5613,                0.94449,                0.75849,                0.72056,                 0.7536,                0.39472,                 1.6934,                 1.0196,                 1.4394,              0.0009332,              0.0009332,              0.0009332
                    131,                0.88231,                0.54063,                0.93722,                0.70477,                0.70176,                0.67429,                0.31073,                 1.7298,                 1.0555,                 1.4932,             0.00093073,             0.00093073,             0.00093073
                    132,                0.87629,                 0.5404,                0.93887,                0.64324,                0.62091,                0.60236,                0.31131,                 1.7343,                 1.1358,                 1.4369,             0.00092825,             0.00092825,             0.00092825
                    133,                0.88589,                0.55171,                0.93946,                0.65195,                0.67939,                0.68439,                0.31837,                 1.7695,                 1.0603,                 1.5181,             0.00092577,             0.00092577,             0.00092577
                    134,                0.88794,                0.54333,                0.93981,                0.70483,                 0.7253,                0.71762,                0.36591,                 1.6801,                0.96279,                 1.4666,              0.0009233,              0.0009233,              0.0009233
                    135,                0.88767,                0.55181,                 0.9449,                0.76626,                0.77784,                0.75774,                0.38349,                 1.6954,                0.98097,                 1.4474,             0.00092083,             0.00092083,             0.00092083
